paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,ready_text_json_path,ready_source_kind,ready_text_mode,ready_source_detail,ready_source_input_path,source_text_json_path,llm_candidate_json_path,llm_trimmed_json_path,gold_json_path,ready_start_line_global_index,ready_end_line_global_index_exclusive,llm_trim_status,llm_validation_passed,llm_validation_reason,ready_reason,published_at_utc
1339,1339,Anti-GAD65 antibody testing at a tertiary care center,Vodopivec I.; Loomis A.; Baron J.; Cho T.; Bhattacharyya S.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1339.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1339.json,data\extraction_json\text\1339.json,,,,,29,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.054570+00:00
1343,1343,Case control analysis of glycine receptor autoimmunity,Lopez-Chiriboga A.S.; Hinson S.; Bower J.; Matsumoto J.; Hassan A.; Basal E.; Lennon V.; Pittock S.; McKeon A.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1343.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1343.json,data\extraction_json\text\1343.json,,,,,45,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.067465+00:00
1381,1381,Determination of antibodies to GAD67 and other antigens in patients with GAD65 antibody-associated syndromes,Gresa-Arribas N.; Arino H.; Sabater L.; Caballero E.; Alba M.; Martinez-Hernandez E.; Petit M.; Saiz A.; Dalmau J.; Graus F.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1381.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1381.json,data\extraction_json\text\1381.json,,,,,40,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.079239+00:00
1388,1388,A retrospective analysis of patient-reported outcomes for 34 patients with stiff person syndrome receiving home IVIg infusions,Ladha S.; Ayer G.; Souayah N.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1388.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1388.json,data\extraction_json\text\1388.json,,,,,36,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.090375+00:00
1393,1393,Stiff limb syndrome: A case report,Farhat E.; Zouari M.; Beyrouti R.; Sassi S.B.; Hentati F.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1393.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1393.json,data\extraction_json\text\1393.json,,,qa\trimming\gold_standard\papers\1393.json,10943,10980,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.093984+00:00
1394,1394,Inpatient physiotherapy management for stiff person syndrome,Kahraman T.; Balci B.; Sengun I.S.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1394.json,legacy_trimmed,trimmed_abstract,text_trimmed,data\extraction_json\text_trimmed\1394.json,data\extraction_json\text\1394.json,,,,2,7,,,,Fell back to the legacy proceedings trim because no LLM-ready publication source was available.,2026-04-13T03:13:17.098894+00:00
1395,1395,An atypical Stiff-Person Syndrome associated with type 3 autoimmune polyglandular syndrome,Viana P.; Abreu L.; Fonseca V.R.; Cortes M.; Neutel D.; Pita Lobo P.; Albuquerque L.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1395.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1395.json,data\extraction_json\text\1395.json,,,qa\trimming\gold_standard\papers\1395.json,48260,48295,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.102534+00:00
1397,1397,Reducing excess stiffness in stiff-person syndrome using CBT: A case study,Morris L.L.; Dysch L.; Salkovskis P.M.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1397.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1397.json,data\extraction_json\text\1397.json,,,qa\trimming\gold_standard\papers\1397.json,2619,2649,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.105827+00:00
1398,1398,A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,Rachana G.; Tarannum K.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1398.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1398.json,data\extraction_json\text\1398.json,,,qa\trimming\gold_standard\papers\1398.json,13482,13516,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.108800+00:00
1407,1407,Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,Wilenius J.; Vaalto S.; Toppila J.; Partanen J.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1407.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1407.json,data\extraction_json\text\1407.json,data\extraction_json\text_trimmed_llm_candidates\1407.json,data\extraction_json\text_trimmed_llm\1407.json,qa\trimming\gold_standard\papers\1407.json,33,65,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.112615+00:00
1416,1416,Immunomodulatory therapy in stiff-person syndrome (SPS): A controlled Rituximab-randomised study,Amarandei M.,conference_abstract,interventional_conference_abstract,data\extraction_json\text_proceedings_ready\1416.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1416.json,data\extraction_json\text\1416.json,,,qa\trimming\gold_standard\papers\1416.json,51267,51302,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.116257+00:00
1418,1418,Stiff-limb syndrome with cerebellar features and atypical EMG findings responds to IVIG,Rametta S.; Robinson G.; Hellmers N.; Jacoby N.; Sarva H.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1418.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1418.json,data\extraction_json\text\1418.json,,,qa\trimming\gold_standard\papers\1418.json,52221,52268,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.119739+00:00
1421,1421,Response to IVIG leads to diagnosis of stiff person syndrome in a patient with limbic encephalitis and GAD65 autoantibodies (AB) without diabetes,Khan M.S.; Hao J.B.; Chaudhry F.; Tiwari A.; Sharma H.; Jaume J.C.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1421.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1421.json,data\extraction_json\text\1421.json,,,,,36,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.173214+00:00
1422,1422,Intrathecal baclofen therapy for GAD(+) stiff-person syndrome: A case series of 4 patients,Ungar L.; Taira T.; Zibly Z.,conference_abstract,case_series_conference_abstract,data\extraction_json\text_proceedings_ready\1422.json,legacy_trimmed,trimmed_abstract,text_trimmed,data\extraction_json\text_trimmed\1422.json,data\extraction_json\text\1422.json,,,,9427,9430,,,,Fell back to the legacy proceedings trim because no LLM-ready publication source was available.,2026-04-13T03:13:17.249413+00:00
1426,1426,Respiratory manifestations of stiff person syndrome (SPS),Woodford M.R.; Pack K.; Allen A.; Rakocevic G.; Sexauer W.P.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1426.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1426.json,data\extraction_json\text\1426.json,,,,2,32,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.260075+00:00
1433,1433,Early empirical treatment of antibody-negative autoimmune/paraneoplastic encephalitis with immunosuppression,Dai P.; Lin M.-W.; Mahant N.; Gao B.; Brown D.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1433.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1433.json,data\extraction_json\text\1433.json,,,qa\trimming\gold_standard\papers\1433.json,72,116,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.263370+00:00
1437,1437,Acute lower limb spasticity: Stiff person syndrome responsive to immunomodulatory therapy in an adolescent female,Ogilvie R.; Kolski H.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1437.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1437.json,data\extraction_json\text\1437.json,data\extraction_json\text_trimmed_llm_candidates\1437.json,data\extraction_json\text_trimmed_llm\1437.json,qa\trimming\gold_standard\papers\1437.json,5,33,trimmed_auto_llm_line_within_overshoot,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.267215+00:00
1439,1439,Unrecognized respiratory manifestations of stiff person syndrome (SPS),Rakocevic G.; Woodford M.; Pack K.; Allen A.; Sexaur W.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1439.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1439.json,data\extraction_json\text\1439.json,,,qa\trimming\gold_standard\papers\1439.json,22263,22317,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.270683+00:00
